NAME,EMP,ESTAB,PAYANN,NAICS2017,state,county
"Granville County, North Carolina",8,5,165,453991,37,077
"Granville County, North Carolina",42,12,1725,454,37,077
"Granville County, North Carolina",7,3,312,4541,37,077
"Granville County, North Carolina",7,3,312,45411,37,077
"Granville County, North Carolina",7,3,312,454110,37,077
"Granville County, North Carolina",33,8,1395,4543,37,077
"Granville County, North Carolina",27,4,1260,45431,37,077
"Granville County, North Carolina",27,4,1260,454310,37,077
"Granville County, North Carolina",6,4,135,45439,37,077
"Granville County, North Carolina",31,5,1246,484110,37,077
"Granville County, North Carolina",6,4,135,454390,37,077
"Granville County, North Carolina",1862,35,47081,48-49,37,077
"Granville County, North Carolina",461,24,19736,484,37,077
"Granville County, North Carolina",310,16,12978,4841,37,077
"Granville County, North Carolina",31,5,1246,48411,37,077
"Granville County, North Carolina",279,11,11732,48412,37,077
"Granville County, North Carolina",214,9,5900,484121,37,077
"Granville County, North Carolina",151,8,6758,4842,37,077
"Granville County, North Carolina",71,5,2753,48422,37,077
"Granville County, North Carolina",71,5,2753,484220,37,077
"Granville County, North Carolina",80,3,4005,48423,37,077
"Granville County, North Carolina",80,3,4005,484230,37,077
"Granville County, North Carolina",281,6,9582,488,37,077
"Granville County, North Carolina",276,4,8504,4884,37,077
"Granville County, North Carolina",19,3,755,48841,37,077
"Granville County, North Carolina",32,7,1652,51,37,077
"Granville County, North Carolina",19,3,755,488410,37,077
"Granville County, North Carolina",1105,4,16806,493,37,077
"Granville County, North Carolina",1105,4,16806,4931,37,077
"Granville County, North Carolina",13,3,1097,517,37,077
"Granville County, North Carolina",129,27,8793,52,37,077
"Granville County, North Carolina",97,13,4961,522,37,077
"Granville County, North Carolina",91,11,4708,5221,37,077
"Granville County, North Carolina",57,9,2442,52211,37,077
"Granville County, North Carolina",8,3,2779,52392,37,077
"Granville County, North Carolina",57,9,2442,522110,37,077
"Granville County, North Carolina",9,4,2837,523,37,077
"Granville County, North Carolina",9,4,2837,5239,37,077
"Granville County, North Carolina",8,3,2779,523920,37,077
"Granville County, North Carolina",23,10,995,524,37,077
"Granville County, North Carolina",22,9,959,5242,37,077
"Granville County, North Carolina",102,44,3585,531,37,077
"Granville County, North Carolina",22,9,959,52421,37,077
"Granville County, North Carolina",22,9,959,524210,37,077
"Granville County, North Carolina",114,48,4082,53,37,077
"Granville County, North Carolina",48,14,1635,5311,37,077
"Granville County, North Carolina",32,5,1219,53111,37,077
"Granville County, North Carolina",32,5,1219,531110,37,077
"Granville County, North Carolina",14,7,379,53113,37,077
"Granville County, North Carolina",14,7,379,531130,37,077
"Granville County, North Carolina",19,15,718,5312,37,077
"Granville County, North Carolina",19,15,718,53121,37,077
"Granville County, North Carolina",19,15,718,531210,37,077
"Granville County, North Carolina",35,15,1232,5313,37,077
"Granville County, North Carolina",33,14,1173,53131,37,077
"Granville County, North Carolina",16,10,528,531311,37,077
"Granville County, North Carolina",32,11,1265,54111,37,077
"Granville County, North Carolina",17,4,645,531312,37,077
"Granville County, North Carolina",9,3,309,532,37,077
"Granville County, North Carolina",288,78,11121,54,37,077
"Granville County, North Carolina",288,78,11121,541,37,077
"Granville County, North Carolina",32,11,1265,5411,37,077
"Granville County, North Carolina",32,11,1265,541110,37,077
"Granville County, North Carolina",72,11,3004,5412,37,077
"Granville County, North Carolina",72,11,3004,54121,37,077
"Granville County, North Carolina",28,6,1700,541211,37,077
"Granville County, North Carolina",3,3,46,541213,37,077
"Granville County, North Carolina",34,14,1557,5413,37,077
"Granville County, North Carolina",14,4,682,54133,37,077
"Granville County, North Carolina",14,4,682,541330,37,077
"Granville County, North Carolina",11,5,516,54137,37,077
"Granville County, North Carolina",10,6,1102,541511,37,077
"Granville County, North Carolina",11,5,516,541370,37,077
"Granville County, North Carolina",34,13,2005,5415,37,077
"Granville County, North Carolina",34,13,2005,54151,37,077
"Granville County, North Carolina",23,5,854,541512,37,077
"Granville County, North Carolina",67,15,1920,5416,37,077
"Granville County, North Carolina",59,11,1695,54161,37,077
"Granville County, North Carolina",11,7,432,541611,37,077
"Granville County, North Carolina",3,3,154,541613,37,077
"Granville County, North Carolina",7,3,211,54169,37,077
"Granville County, North Carolina",7,3,211,541690,37,077
"Granville County, North Carolina",43,11,1210,5419,37,077
"Granville County, North Carolina",40,7,965,54194,37,077
"Granville County, North Carolina",40,7,965,541940,37,077
"Granville County, North Carolina",19,3,6031,55111,37,077
"Granville County, North Carolina",19,3,6031,55,37,077
"Granville County, North Carolina",19,3,6031,551,37,077
"Granville County, North Carolina",19,3,6031,5511,37,077
"Granville County, North Carolina",19,3,6031,551114,37,077
"Granville County, North Carolina",941,56,27418,56,37,077
"Granville County, North Carolina",630,8,15195,561320,37,077
"Granville County, North Carolina",878,54,23743,561,37,077
"Granville County, North Carolina",639,9,15527,5613,37,077
"Granville County, North Carolina",630,8,15195,56132,37,077
"Granville County, North Carolina",5,3,95,5614,37,077
"Granville County, North Carolina",147,36,5565,5617,37,077
"Granville County, North Carolina",28,8,617,56172,37,077
"Granville County, North Carolina",28,8,617,561720,37,077
"Granville County, North Carolina",119,28,4948,56173,37,077
"Granville County, North Carolina",119,28,4948,561730,37,077
"Granville County, North Carolina",78,4,2387,5619,37,077
"Granville County, North Carolina",210,4,9484,61,37,077
"Granville County, North Carolina",210,4,9484,611,37,077
"Granville County, North Carolina",4181,99,193372,62,37,077
"Granville County, North Carolina",577,56,41196,621,37,077
"Granville County, North Carolina",80,13,5729,6212,37,077
"Granville County, North Carolina",212,16,24236,6211,37,077
"Granville County, North Carolina",212,16,24236,62111,37,077
"Granville County, North Carolina",212,16,24236,621111,37,077
"Granville County, North Carolina",80,13,5729,62121,37,077
"Granville County, North Carolina",80,13,5729,621210,37,077
"Granville County, North Carolina",23,8,1209,6213,37,077
"Granville County, North Carolina",79,10,5167,6214,37,077
"Granville County, North Carolina",77,8,5045,62149,37,077
"Granville County, North Carolina",46,5,2534,621492,37,077
"Granville County, North Carolina",31,3,2511,621498,37,077
"Granville County, North Carolina",171,8,4498,6216,37,077
"Granville County, North Carolina",171,8,4498,62161,37,077
"Granville County, North Carolina",253,3,8080,62321,37,077
"Granville County, North Carolina",253,3,8080,623210,37,077
"Granville County, North Carolina",38,3,1145,6233,37,077
"Granville County, North Carolina",38,3,1145,62331,37,077
"Granville County, North Carolina",118,4,4711,6239,37,077
"Granville County, North Carolina",118,4,4711,62399,37,077
"Granville County, North Carolina",118,4,4711,623990,37,077
"Granville County, North Carolina",406,29,7145,624,37,077
"Granville County, North Carolina",215,10,3567,6241,37,077
"Granville County, North Carolina",205,8,3047,62412,37,077
"Granville County, North Carolina",205,8,3047,624120,37,077
"Granville County, North Carolina",6,4,78,6242,37,077
"Granville County, North Carolina",4,3,34,62422,37,077
"Granville County, North Carolina",185,15,3500,6244,37,077
"Granville County, North Carolina",185,15,3500,62441,37,077
"Granville County, North Carolina",185,15,3500,624410,37,077
"Granville County, North Carolina",42,13,899,71,37,077
"Granville County, North Carolina",7,5,189,711,37,077
"Granville County, North Carolina",3,3,90,711510,37,077
"Granville County, North Carolina",171,8,4498,621610,37,077
"Granville County, North Carolina",526,12,19038,623,37,077
"Granville County, North Carolina",253,3,8080,6232,37,077
"Granville County, North Carolina",3,3,90,7115,37,077
"Granville County, North Carolina",3,3,90,71151,37,077
"Granville County, North Carolina",33,7,674,713,37,077
"Granville County, North Carolina",33,7,674,7139,37,077
"Granville County, North Carolina",29,5,292,71394,37,077
"Granville County, North Carolina",29,5,292,713940,37,077
"Granville County, North Carolina",1097,69,17620,72,37,077
"Granville County, North Carolina",48,10,957,721,37,077
"Granville County, North Carolina",42,9,865,7211,37,077
"Granville County, North Carolina",42,9,865,72111,37,077
"Granville County, North Carolina",42,9,865,721110,37,077
"Granville County, North Carolina",1049,59,16663,722,37,077
"Granville County, North Carolina",77,4,752,7223,37,077
"Granville County, North Carolina",966,54,15830,7225,37,077
"Granville County, North Carolina",641,30,10520,722513,37,077
"Granville County, North Carolina",7,3,97,722515,37,077
"Granville County, North Carolina",452,110,11820,81,37,077
"Granville County, North Carolina",105,27,4791,811,37,077
"Granville County, North Carolina",89,21,4231,8111,37,077
"Granville County, North Carolina",50,10,2644,81111,37,077
"Granville County, North Carolina",50,10,2644,811111,37,077
"Granville County, North Carolina",28,5,1318,81112,37,077
"Granville County, North Carolina",26,4,1284,811121,37,077
