Partner ,Flow,Start Year,State,Unit,Product ,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Chile,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$216 ,$199 ,$212 ,$165 ,$190 ,$201 ,$127 ,$166 ,$179 ,$259 ,$232 
Austria,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$141 ,$166 ,$165 ,$163 ,$220 ,$186 ,$150 ,$146 ,$100 ,$130 ,$205 
Oman,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$90 ,$138 ,$81 ,$52 ,$66 ,$59 ,$33 ,$39 ,$88 ,$183 ,$197 
Luxembourg,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$161 ,$157 ,$251 ,$216 ,$176 ,$356 ,$131 ,$117 ,$111 ,$116 ,$189 
Colombia,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$185 ,$176 ,$143 ,$118 ,$119 ,$126 ,$105 ,$137 ,$156 ,$131 ,$189 
Vietnam,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$140 ,$140 ,$254 ,$169 ,$207 ,$222 ,$190 ,$291 ,$289 ,$208 ,$181 
Sint Maarten,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$285 ,$264 ,$268 ,$171 ,$237 ,$252 ,$89 ,$79 ,$138 ,$169 ,$178 
Philippines,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$167 ,$181 ,$145 ,$131 ,$141 ,$195 ,$111 ,$131 ,$130 ,$198 ,$171 
Indonesia,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$231 ,$194 ,$155 ,$178 ,$189 ,$158 ,$111 ,$127 ,$140 ,$142 ,$165 
Costa Rica,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$81 ,$71 ,$61 ,$63 ,$72 ,$80 ,$65 ,$69 ,$81 ,$115 ,$153 
Sweden,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$177 ,$141 ,$209 ,$127 ,$159 ,$126 ,$115 ,$151 ,$137 ,$151 ,$140 
Monaco,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$43 ,$42 ,$33 ,$19 ,$153 ,$34 ,$40 ,$52 ,$32 ,$64 ,$139 
Lithuania,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$106 ,$50 ,$47 ,$34 ,$68 ,$86 ,$104 ,$108 ,$153 ,$197 ,$138 
Romania,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$34 ,$32 ,$37 ,$152 ,$50 ,$77 ,$48 ,$63 ,$101 ,$144 ,$138 
Czech Republic,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$149 ,$92 ,$162 ,$118 ,$120 ,$132 ,$142 ,$191 ,$165 ,$177 ,$127 
"Macau, SAR of China",Exports,TRUE,New York,Millions of USD,0--All Merchandise,$8 ,$22 ,$64 ,$37 ,$60 ,$65 ,$69 ,$109 ,$121 ,$156 ,$117 
South Africa,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$351 ,$274 ,$221 ,$230 ,$216 ,$281 ,$167 ,$346 ,$369 ,$253 ,$115 
Iraq,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$122 ,$139 ,$95 ,$57 ,$81 ,$45 ,$39 ,$56 ,$72 ,$76 ,$115 
Guatemala,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$65 ,$237 ,$59 ,$187 ,$162 ,$115 ,$86 ,$113 ,$127 ,$110 ,$112 
Peru,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$95 ,$111 ,$96 ,$78 ,$89 ,$147 ,$145 ,$259 ,$240 ,$231 ,$109 
Portugal,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$43 ,$32 ,$36 ,$98 ,$45 ,$30 ,$27 ,$45 ,$33 ,$45 ,$108 
Kuwait,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$78 ,$97 ,$99 ,$62 ,$132 ,$90 ,$71 ,$45 ,$85 ,$81 ,$106 
Georgia,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$122 ,$35 ,$31 ,$53 ,$40 ,$51 ,$20 ,$39 ,$93 ,$109 ,$106 
Panama,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$86 ,$101 ,$85 ,$79 ,$80 ,$72 ,$43 ,$67 ,$87 ,$74 ,$99 
New Zealand,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$61 ,$55 ,$61 ,$76 ,$75 ,$75 ,$80 ,$126 ,$116 ,$96 ,$90 
Pakistan,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$73 ,$69 ,$139 ,$134 ,$128 ,$128 ,$159 ,$188 ,$173 ,$78 ,$88 
Denmark,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$77 ,$67 ,$61 ,$80 ,$103 ,$90 ,$103 ,$108 ,$108 ,$79 ,$85 
